FOODID;FOODUNIT;MASS
30;PORTS;5,00
30;PORTM;15,00
30;PORTL;30,00
30;DL;125,00
30;RKL;20,00
30;TL;6,50
31;PORTS;5,00
31;PORTM;15,00
31;PORTL;30,00
31;DL;120,00
31;RKL;18,00
31;TL;6,00
32;PORTS;20,00
32;PORTM;40,00
32;PORTL;80,00
32;KPL_S;100,00
32;KPL_M;170,00
32;KPL_L;300,00
33;PORTS;40,00
33;PORTM;100,00
33;PORTL;200,00
33;KPL_S;100,00
33;KPL_M;170,00
33;KPL_L;300,00
34;PORTS;30,00
34;PORTM;80,00
34;PORTL;140,00
34;DL;100,00
34;RKL;15,00
35;PORTS;30,00
35;PORTM;80,00
35;PORTL;140,00
35;KPL_S;2,00
35;KPL_M;3,00
35;KPL_L;7,50
36;PORTS;5,00
36;PORTM;15,00
36;PORTL;30,00
36;DL;125,00
36;RKL;20,00
36;TL;6,50
37;PORTS;20,00
37;PORTM;40,00
37;PORTL;80,00
37;KPL_S;20,00
37;KPL_M;50,00
38;PORTS;5,00
38;PORTM;15,00
38;PORTL;30,00
38;DL;75,00
38;RKL;11,00
38;TL;3,50
39;PORTS;0,10
39;PORTM;0,30
39;PORTL;0,50
39;KPL_M;0,10
39;TL;0,50
40;PORTS;30,00
40;PORTM;60,00
40;PORTL;120,00
40;KPL_M;30,00
43;PORTS;5,00
43;PORTM;15,00
43;PORTL;30,00
44;PORTS;20,00
44;PORTM;40,00
44;PORTL;80,00
44;KPL_S;20,00
44;KPL_M;45,00
44;KPL_L;60,00
62;PORTS;5,00
62;PORTM;15,00
62;PORTL;30,00
62;KPL_M;2,50
63;PORTS;20,00
63;PORTM;40,00
63;PORTL;80,00
63;KPL_S;20,00
63;KPL_M;45,00
63;KPL_L;60,00
65;PORTS;1,00
65;PORTM;2,00
65;PORTL;5,00
65;KPL_M;1,00
66;PORTS;1,00
66;PORTM;2,00
66;PORTL;5,00
66;KPL_M;3,00
68;PORTS;15,00
68;PORTM;25,00
68;PORTL;35,00
68;DL;55,00
68;RKL;8,00
69;PORTS;30,00
69;PORTM;80,00
69;PORTL;140,00
69;KPL_M;1,00
70;PORTS;0,10
70;PORTM;0,30
70;PORTL;0,50
70;KPL_M;0,10
70;TL;0,50
73;PORTS;20,00
73;PORTM;50,00
73;PORTL;100,00
73;KPL_M;3,00
74;PORTS;5,00
74;PORTM;15,00
74;PORTL;30,00
74;RKL;15,00
74;TL;5,00
75;PORTS;200,00
75;PORTM;300,00
75;PORTL;400,00
75;DL;100,00
75;RKL;15,00
75;TL;5,00
79;PORTS;1,00
79;PORTM;2,00
79;PORTL;3,00
79;DL;125,00
79;RKL;20,00
100;PORTS;15,00
100;PORTM;25,00
100;PORTL;35,00
100;DL;55,00
100;RKL;8,00
103;PORTS;15,00
103;PORTM;25,00
103;PORTL;35,00
103;DL;30,00
103;RKL;4,50
110;PORTS;15,00
110;PORTM;25,00
110;PORTL;35,00
110;DL;65,00
110;RKL;10,00
111;PORTS;15,00
111;PORTM;25,00
111;PORTL;35,00
111;DL;55,00
111;RKL;9,00
111;TL;3,00
112;PORTS;15,00
112;PORTM;25,00
112;PORTL;35,00
112;DL;100,00
112;RKL;15,00
113;PORTS;15,00
113;PORTM;25,00
113;PORTL;35,00
113;DL;100,00
113;RKL;15,00
114;PORTS;15,00
114;PORTM;25,00
114;PORTL;35,00
114;DL;30,00
114;RKL;4,50
115;PORTS;15,00
115;PORTM;25,00
115;PORTL;35,00
115;DL;25,00
115;RKL;5,00
115;TL;2,00
116;PORTS;15,00
116;PORTM;25,00
116;PORTL;35,00
116;DL;20,00
116;RKL;3,00
117;DL;55,00
117;RKL;7,50
117;PORTS;50,00
117;PORTM;70,00
117;PORTL;100,00
119;DL;55,00
119;RKL;7,50
119;PORTS;50,00
119;PORTM;70,00
119;PORTL;100,00
120;PORTM;100,00
120;PORTL;300,00
120;PORTS;60,00
121;DL;60,00
121;PORTS;50,00
121;PORTM;70,00
121;PORTL;100,00
124;PORTS;15,00
124;PORTM;25,00
124;PORTL;35,00
124;DL;55,00
124;RKL;9,00
125;PORTS;15,00
125;PORTM;25,00
125;PORTL;35,00
125;DL;55,00
125;RKL;9,00
126;PORTS;15,00
126;PORTM;25,00
126;PORTL;35,00
126;DL;50,00
126;RKL;7,00
133;PORTS;75,00
133;PORTM;150,00
133;PORTL;300,00
133;KPL_S;3,50
133;KPL_M;8,50
133;KPL_L;11,00
142;PORTS;15,00
142;PORTM;25,00
142;PORTL;35,00
142;DL;70,00
142;RKL;10,50
142;TL;3,50
150;PORTS;15,00
150;PORTM;25,00
150;PORTL;35,00
150;DL;55,00
150;RKL;8,00
151;PORTS;15,00
151;PORTM;25,00
151;PORTL;35,00
151;DL;85,00
151;RKL;12,50
152;PORTS;15,00
152;PORTM;25,00
152;PORTL;35,00
152;DL;35,00
152;RKL;5,00
153;PORTS;15,00
153;PORTM;25,00
153;PORTL;35,00
153;DL;40,00
153;RKL;6,00
154;PORTS;15,00
154;PORTM;25,00
154;PORTL;35,00
154;DL;70,00
154;RKL;11,00
156;PORTS;50,00
156;PORTL;150,00
156;DL;85,00
156;RKL;12,50
156;PORTM;70,00
158;PORTS;50,00
158;PORTL;150,00
158;DL;85,00
158;RKL;12,50
158;PORTM;70,00
160;PORTS;15,00
160;PORTM;25,00
160;PORTL;35,00
160;DL;80,00
160;RKL;12,00
161;PORTS;15,00
161;PORTM;25,00
161;PORTL;35,00
161;DL;75,00
161;RKL;11,00
162;PORTS;15,00
162;PORTM;25,00
162;PORTL;35,00
162;DL;60,00
162;RKL;9,50
167;PORTS;15,00
167;PORTM;25,00
167;PORTL;35,00
168;PORTS;5,00
168;PORTM;15,00
168;PORTL;30,00
170;PORTS;15,00
170;PORTM;25,00
170;PORTL;35,00
170;DL;60,00
170;RKL;9,00
172;PORTS;50,00
172;PORTM;70,00
172;PORTL;100,00
173;DL;55,00
173;RKL;7,50
173;PORTS;50,00
173;PORTM;70,00
173;PORTL;100,00
175;PORTS;15,00
175;PORTM;25,00
175;PORTL;35,00
175;DL;70,00
176;PORTS;15,00
176;PORTM;25,00
176;PORTL;35,00
182;PORTS;15,00
182;PORTM;25,00
182;PORTL;35,00
182;DL;55,00
182;RKL;8,00
183;PORTS;15,00
183;PORTM;25,00
183;PORTL;35,00
184;PORTS;20,00
184;PORTM;50,00
184;PORTL;100,00
184;KPL_M;10,00
185;PORTS;15,00
185;PORTM;25,00
185;PORTL;35,00
185;DL;60,00
189;PORTS;15,00
189;PORTM;25,00
189;PORTL;35,00
189;DL;60,00
189;RKL;9,00
202;PORTS;20,00
202;PORTM;40,00
202;PORTL;60,00
203;PORTS;20,00
203;PORTM;50,00
203;PORTL;100,00
203;KPL_S;1,00
203;KPL_M;2,00
203;KPL_L;3,00
203;DL;12,00
204;PORTS;120,00
204;PORTM;200,00
204;PORTL;340,00
205;PORTS;120,00
205;PORTM;200,00
205;PORTL;340,00
205;KPL_M;60,00
206;PORTS;20,00
206;PORTL;60,00
206;DL;75,00
206;RKL;11,00
206;PORTM;35,00
207;PORTS;120,00
207;PORTM;200,00
207;PORTL;300,00
209;PORTS;20,00
209;PORTM;40,00
209;PORTL;60,00
209;DL;30,00
300;PORTS;40,00
300;PORTM;60,00
300;PORTL;100,00
300;KPL_S;35,00
300;KPL_M;65,00
300;KPL_L;100,00
302;PORTS;10,00
302;PORTM;30,00
302;PORTL;50,00
303;PORTS;30,00
303;PORTM;60,00
303;PORTL;90,00
304;PORTS;40,00
304;PORTM;60,00
304;PORTL;100,00
304;KPL_S;80,00
304;KPL_M;170,00
304;KPL_L;270,00
305;PORTS;40,00
305;PORTM;60,00
305;PORTL;100,00
305;KPL_M;80,00
307;PORTS;40,00
307;PORTL;150,00
307;KPL_S;30,00
307;KPL_M;40,00
307;KPL_L;50,00
307;PORTM;50,00
308;PORTS;40,00
308;PORTM;60,00
308;PORTL;100,00
308;KPL_M;10,00
309;PORTS;40,00
309;PORTM;60,00
309;PORTL;100,00
309;KPL_S;100,00
309;KPL_M;150,00
309;KPL_L;200,00
310;PORTS;40,00
310;PORTM;60,00
310;PORTL;100,00
310;KPL_M;70,00
311;PORTS;40,00
311;PORTM;60,00
311;PORTL;100,00
311;KPL_S;200,00
311;KPL_M;600,00
311;KPL_L;800,00
312;PORTS;40,00
312;PORTM;60,00
312;PORTL;100,00
312;KPL_M;180,00
320;PORTS;40,00
320;PORTM;60,00
320;PORTL;100,00
320;KPL_S;800,00
320;KPL_M;1200,00
320;KPL_L;1500,00
320;DL;40,00
321;PORTS;40,00
321;PORTM;60,00
321;PORTL;100,00
321;DL;40,00
322;PORTS;40,00
322;KPL_S;400,00
322;KPL_M;600,00
322;KPL_L;1000,00
322;DL;40,00
322;PORTM;100,00
322;PORTL;150,00
324;PORTS;40,00
324;PORTM;60,00
324;PORTL;100,00
324;KPL_S;200,00
324;KPL_M;350,00
324;KPL_L;600,00
326;PORTS;40,00
326;PORTM;60,00
326;PORTL;100,00
326;DL;50,00
327;PORTS;40,00
327;PORTM;60,00
327;PORTL;100,00
327;KPL_M;15,00
327;DL;60,00
329;PORTS;40,00
329;PORTM;60,00
329;PORTL;100,00
329;KPL_M;230,00
330;PORTS;40,00
330;PORTM;60,00
330;PORTL;100,00
330;KPL_S;40,00
330;KPL_M;100,00
330;KPL_L;150,00
331;KPL_M;500,00
331;DL;25,00
331;PORTS;20,00
331;PORTM;50,00
331;PORTL;100,00
333;PORTS;40,00
333;PORTM;60,00
333;PORTL;100,00
333;RKL;2,00
334;PORTS;40,00
334;PORTM;60,00
334;PORTL;100,00
334;DL;40,00
335;PORTS;40,00
335;PORTM;60,00
335;PORTL;100,00
335;KPL_S;30,00
335;KPL_M;55,00
335;KPL_L;200,00
335;DL;90,00
336;PORTS;5,00
336;PORTM;10,00
336;PORTL;20,00
336;RKL;9,00
336;TL;3,00
337;PORTS;40,00
337;PORTM;60,00
337;PORTL;100,00
337;KPL_S;120,00
337;KPL_M;200,00
337;KPL_L;280,00
338;PORTS;40,00
338;PORTM;60,00
338;PORTL;100,00
338;KPL_M;165,00
338;DL;60,00
339;PORTS;40,00
339;PORTM;60,00
339;PORTL;100,00
339;KPL_S;335,00
339;KPL_M;380,00
339;KPL_L;530,00
339;DL;50,00
340;PORTS;40,00
340;PORTL;150,00
340;KPL_M;7,00
340;DL;55,00
340;PORTM;75,00
342;PORTS;80,00
342;PORTM;150,00
342;PORTL;200,00
343;PORTS;80,00
343;PORTM;150,00
343;PORTL;200,00
343;DL;80,00
344;PORTS;35,00
344;PORTL;200,00
344;DL;60,00
344;PORTM;80,00
345;PORTS;35,00
345;PORTL;200,00
345;KPL_S;5,00
345;KPL_M;15,00
345;DL;30,00
345;PORTM;80,00
346;PORTS;40,00
346;PORTM;60,00
346;PORTL;100,00
346;KPL_S;250,00
346;KPL_M;400,00
346;KPL_L;600,00
346;DL;45,00
347;PORTS;40,00
347;PORTM;80,00
347;PORTL;150,00
347;KPL_S;70,00
347;KPL_M;100,00
347;KPL_L;200,00
348;PORTS;40,00
348;PORTM;80,00
348;PORTL;150,00
348;KPL_S;70,00
348;KPL_M;100,00
348;KPL_L;200,00
350;PORTS;40,00
350;PORTM;60,00
350;PORTL;100,00
350;KPL_M;600,00
351;PORTS;40,00
351;PORTM;80,00
351;PORTL;150,00
351;DL;120,00
351;RKL;18,00
352;PORTS;40,00
352;PORTM;60,00
352;PORTL;100,00
352;KPL_S;75,00
352;KPL_M;125,00
352;KPL_L;170,00
353;PORTS;5,00
353;PORTL;30,00
353;DL;120,00
353;RKL;18,00
353;TL;5,00
353;PORTM;20,00
354;PORTS;5,00
354;PORTM;15,00
354;PORTL;30,00
354;DL;90,00
355;PORTS;40,00
355;PORTM;60,00
355;PORTL;100,00
355;KPL_S;120,00
355;KPL_M;170,00
355;KPL_L;230,00
358;PORTS;100,00
358;PORTM;170,00
358;PORTL;270,00
358;DL;100,00
358;RKL;15,00
359;PORTS;40,00
359;PORTM;60,00
359;PORTL;100,00
359;KPL_S;300,00
359;KPL_M;850,00
359;KPL_L;1000,00
359;DL;25,00
360;PORTS;40,00
360;PORTM;60,00
360;PORTL;100,00
362;PORTS;40,00
362;PORTM;60,00
362;PORTL;100,00
362;KPL_S;200,00
362;KPL_M;400,00
362;KPL_L;500,00
362;DL;30,00
363;PORTS;40,00
363;PORTM;60,00
363;PORTL;100,00
364;PORTS;40,00
364;PORTM;60,00
364;PORTL;100,00
367;PORTS;80,00
367;PORTL;200,00
367;KPL_S;25,00
367;KPL_M;40,00
367;KPL_L;60,00
367;DL;40,00
367;PORTM;85,00
368;PORTS;80,00
368;PORTM;150,00
368;PORTL;200,00
369;PORTS;40,00
369;PORTM;60,00
369;PORTL;100,00
369;RKL;2,50
370;PORTS;40,00
370;PORTM;60,00
370;PORTL;100,00
370;DL;60,00
371;PORTS;5,00
371;PORTM;15,00
371;PORTL;30,00
371;DL;85,00
372;KPL_M;15,00
372;DL;55,00
372;RKL;9,00
372;PORTS;25,00
372;PORTM;45,00
372;PORTL;65,00
373;PORTS;40,00
373;PORTM;60,00
373;PORTL;100,00
373;DL;85,00
375;PORTS;20,00
375;PORTM;50,00
375;PORTL;100,00
375;KPL_M;1,00
375;DL;65,00
375;RKL;10,00
376;PORTS;20,00
376;PORTM;50,00
376;PORTL;100,00
376;DL;60,00
376;RKL;6,00
377;PORTS;20,00
377;PORTM;50,00
377;PORTL;100,00
377;KPL_M;15,00
378;PORTS;20,00
378;PORTM;50,00
378;PORTL;100,00
378;KPL_M;0,70
378;DL;70,00
378;RKL;10,00
379;PORTS;20,00
379;PORTM;50,00
379;PORTL;100,00
379;DL;70,00
379;RKL;10,00
380;PORTS;5,00
380;PORTM;15,00
380;PORTL;30,00
380;DL;55,00
381;PORTS;5,00
381;PORTM;15,00
381;PORTL;30,00
381;DL;55,00
382;PORTS;5,00
382;PORTM;20,00
382;PORTL;40,00
382;DL;35,00
382;RKL;5,00
383;PORTS;20,00
383;PORTM;50,00
383;PORTL;100,00
383;DL;65,00
383;RKL;10,00
384;KPL_M;0,40
384;DL;40,00
384;RKL;7,00
384;PORTS;40,00
384;PORTM;80,00
384;PORTL;120,00
385;PORTS;5,00
385;PORTM;10,00
385;PORTL;20,00
385;DL;60,00
385;RKL;8,50
385;TL;3,00
386;PORTS;40,00
386;PORTM;60,00
386;PORTL;100,00
386;KPL_S;120,00
386;KPL_M;170,00
386;KPL_L;230,00
387;PORTS;40,00
387;PORTM;60,00
387;PORTL;100,00
387;KPL_S;120,00
387;KPL_M;170,00
387;KPL_L;230,00
388;PORTS;40,00
388;PORTM;60,00
388;PORTL;100,00
388;KPL_S;120,00
388;KPL_M;170,00
388;KPL_L;230,00
389;PORTS;40,00
389;PORTM;60,00
389;PORTL;100,00
389;KPL_S;200,00
389;KPL_M;350,00
389;KPL_L;450,00
390;PORTS;100,00
390;PORTM;170,00
390;PORTL;270,00
390;DL;100,00
390;RKL;15,00
391;PORTS;30,00
391;PORTM;50,00
391;PORTL;80,00
391;DL;85,00
392;PORTS;40,00
392;PORTL;100,00
392;DL;40,00
392;RKL;7,00
392;PORTM;60,00
393;PORTS;40,00
393;PORTM;60,00
393;PORTL;100,00
393;KPL_M;3,50
394;PORTS;40,00
394;PORTM;80,00
394;PORTL;150,00
394;DL;120,00
394;RKL;18,00
395;DL;70,00
395;PORTS;60,00
395;PORTM;75,00
395;PORTL;90,00
398;PORTS;40,00
398;PORTM;80,00
398;PORTL;150,00
398;DL;100,00
398;RKL;15,00
399;PORTS;20,00
399;PORTM;50,00
399;PORTL;100,00
399;DL;80,00
401;PORTS;10,00
401;PORTM;30,00
401;PORTL;60,00
401;DL;25,00
408;PORTS;60,00
408;PORTM;110,00
408;PORTL;180,00
408;KPL_M;20,00
408;DL;65,00
409;PORTS;5,00
409;PORTM;15,00
409;PORTL;30,00
409;KPL_M;7,00
409;DL;50,00
411;PORTS;60,00
411;PORTM;110,00
411;PORTL;180,00
411;KPL_M;45,00
411;DL;105,00
412;PORTS;20,00
412;PORTM;50,00
412;PORTL;100,00
417;PORTS;60,00
417;PORTM;110,00
417;PORTL;180,00
417;DL;95,00
423;PORTS;100,00
423;PORTM;200,00
423;PORTL;300,00
423;KPL_M;7,00
423;DL;70,00
427;PORTS;20,00
427;PORTM;50,00
427;PORTL;80,00
427;DL;65,00
428;PORTS;20,00
428;PORTM;50,00
428;PORTL;100,00
428;KPL_M;0,40
428;DL;60,00
428;RKL;9,00
428;TL;3,00
431;PORTS;40,00
431;PORTM;80,00
431;PORTL;150,00
431;KPL_M;5,00
431;DL;30,00
432;PORTS;60,00
432;PORTM;110,00
432;PORTL;180,00
432;DL;70,00
433;PORTS;100,00
433;PORTM;170,00
433;PORTL;270,00
433;DL;100,00
433;RKL;15,00
433;TL;5,00
434;PORTS;100,00
434;PORTM;170,00
434;PORTL;270,00
434;DL;100,00
434;RKL;15,00
434;TL;5,00
435;PORTS;100,00
435;PORTM;170,00
435;PORTL;270,00
435;DL;100,00
435;RKL;15,00
435;TL;5,00
436;PORTS;100,00
436;PORTM;170,00
436;PORTL;270,00
436;DL;100,00
436;RKL;15,00
436;TL;5,00
437;PORTS;100,00
437;PORTM;170,00
437;PORTL;270,00
437;DL;100,00
437;RKL;15,00
437;TL;5,00
438;PORTS;100,00
438;PORTM;170,00
438;PORTL;270,00
438;DL;100,00
438;RKL;15,00
438;TL;5,00
440;PORTS;60,00
440;PORTM;120,00
440;PORTL;180,00
440;DL;60,00
440;RKL;12,00
441;PORTS;60,00
441;PORTM;120,00
441;PORTL;180,00
441;DL;60,00
441;RKL;12,00
442;PORTS;60,00
442;PORTM;120,00
442;PORTL;180,00
442;DL;60,00
442;RKL;12,00
444;PORTS;60,00
444;PORTM;120,00
444;PORTL;180,00
444;DL;50,00
444;RKL;10,00
445;PORTS;60,00
445;PORTM;120,00
445;PORTL;180,00
445;DL;50,00
445;RKL;10,00
446;PORTS;60,00
446;PORTM;120,00
446;PORTL;180,00
446;DL;45,00
446;RKL;9,00
447;PORTS;60,00
447;PORTM;120,00
447;PORTL;180,00
447;DL;50,00
447;RKL;10,00
448;PORTS;60,00
448;PORTM;120,00
448;PORTL;180,00
448;DL;50,00
448;RKL;10,00
449;PORTS;60,00
449;PORTM;120,00
449;PORTL;180,00
449;DL;50,00
449;RKL;10,00
450;DL;115,00
450;RKL;17,00
450;TL;5,50
450;PORTS;17,00
450;PORTM;40,00
450;PORTL;65,00
451;PORTS;170,00
451;PORTM;300,00
451;PORTL;500,00
451;DL;100,00
451;RKL;15,00
451;TL;5,00
452;PORTS;170,00
452;PORTM;300,00
452;PORTL;500,00
452;DL;100,00
452;RKL;15,00
452;TL;5,00
453;PORTS;170,00
453;PORTM;300,00
453;PORTL;500,00
453;DL;100,00
453;RKL;15,00
453;TL;5,00
454;PORTS;60,00
454;PORTM;120,00
454;PORTL;180,00
454;DL;55,00
454;RKL;12,00
455;PORTS;60,00
455;PORTM;120,00
455;PORTL;180,00
455;DL;55,00
455;RKL;11,00
456;PORTS;17,00
456;PORTL;80,00
456;DL;115,00
456;RKL;17,00
456;TL;5,50
456;PORTM;20,00
457;PORTS;60,00
457;PORTM;120,00
457;PORTL;180,00
457;DL;50,00
457;RKL;10,00
458;PORTS;170,00
458;PORTM;300,00
458;PORTL;500,00
458;DL;100,00
458;RKL;15,00
458;TL;5,00
459;PORTS;170,00
459;PORTM;300,00
459;PORTL;500,00
459;DL;100,00
459;RKL;15,00
459;TL;5,00
461;PORTS;170,00
461;PORTM;300,00
461;PORTL;500,00
461;DL;100,00
461;RKL;15,00
461;TL;5,00
462;PORTS;170,00
462;PORTM;300,00
462;PORTL;500,00
462;DL;100,00
462;RKL;15,00
462;TL;5,00
463;PORTS;170,00
463;PORTM;300,00
463;PORTL;500,00
463;DL;100,00
463;RKL;15,00
463;TL;5,00
469;PORTS;100,00
469;PORTM;170,00
469;PORTL;270,00
469;DL;100,00
469;RKL;15,00
469;TL;5,00
471;PORTS;60,00
471;PORTM;110,00
471;PORTL;180,00
471;DL;95,00
472;PORTS;17,00
472;PORTM;40,00
472;PORTL;80,00
472;DL;120,00
473;PORTS;170,00
473;PORTM;300,00
473;PORTL;500,00
473;DL;100,00
473;RKL;15,00
473;TL;5,00
474;PORTS;100,00
474;PORTM;170,00
474;PORTL;270,00
474;DL;100,00
474;RKL;15,00
474;TL;5,00
476;DL;115,00
476;RKL;17,00
476;TL;5,50
476;PORTS;17,00
476;PORTM;40,00
476;PORTL;65,00
477;PORTS;100,00
477;PORTL;300,00
477;KPL_M;360,00
477;PORTM;150,00
478;PORTS;170,00
478;PORTM;300,00
478;PORTL;500,00
478;DL;100,00
478;RKL;15,00
478;TL;5,00
500;PORTS;3,00
500;PORTM;6,00
500;PORTL;10,00
500;DL;95,00
500;RKL;14,00
500;TL;4,50
501;PORTS;3,00
501;PORTM;6,00
501;PORTL;10,00
501;DL;95,00
501;RKL;14,00
501;TL;4,50
528;PORTS;3,00
528;PORTM;6,00
528;PORTL;10,00
528;DL;95,00
528;RKL;14,00
529;PORTS;3,00
529;PORTM;6,00
529;PORTL;10,00
529;DL;95,00
529;RKL;14,00
530;PORTS;3,00
530;PORTM;6,00
530;PORTL;10,00
530;DL;95,00
530;RKL;14,00
530;TL;4,50
531;PORTS;10,00
531;PORTM;25,00
531;PORTL;40,00
531;DL;90,00
531;RKL;13,50
531;TL;4,50
535;PORTS;10,00
535;PORTM;25,00
535;PORTL;40,00
535;DL;90,00
535;RKL;13,50
535;TL;4,50
536;PORTS;10,00
536;PORTM;25,00
536;PORTL;40,00
536;DL;90,00
536;RKL;13,50
536;TL;4,50
540;PORTS;10,00
540;PORTM;25,00
540;PORTL;40,00
540;DL;90,00
540;RKL;13,50
540;TL;4,50
541;PORTS;10,00
541;PORTM;25,00
541;PORTL;40,00
541;DL;90,00
541;RKL;13,50
541;TL;4,50
542;PORTS;10,00
542;PORTM;25,00
542;PORTL;40,00
542;DL;90,00
542;RKL;13,50
542;TL;4,50
543;PORTS;10,00
543;PORTM;25,00
543;PORTL;40,00
543;DL;90,00
543;RKL;13,50
543;TL;4,50
550;PORTS;3,00
550;PORTM;6,00
550;PORTL;10,00
550;DL;95,00
550;RKL;14,00
552;PORTS;3,00
552;PORTM;6,00
552;PORTL;10,00
552;DL;95,00
552;RKL;14,00
553;PORTS;3,00
553;PORTM;6,00
553;PORTL;10,00
553;DL;85,00
553;RKL;12,00
562;PORTS;10,00
562;PORTM;25,00
562;PORTL;40,00
562;DL;95,00
562;RKL;14,00
562;TL;4,50
563;DL;95,00
563;RKL;14,00
563;TL;4,50
563;PORTS;10,00
563;PORTM;25,00
563;PORTL;40,00
565;PORTS;3,00
565;PORTM;6,00
565;PORTL;10,00
565;DL;95,00
565;RKL;14,00
565;TL;4,50
568;PORTS;3,00
568;PORTM;6,00
568;PORTL;10,00
568;DL;95,00
568;RKL;14,00
568;TL;4,50
570;PORTS;3,00
570;PORTM;6,00
570;PORTL;10,00
570;DL;95,00
570;RKL;14,00
570;TL;4,50
572;PORTS;3,00
572;PORTM;6,00
572;PORTL;10,00
572;DL;95,00
572;RKL;14,00
572;TL;4,50
576;PORTS;3,00
576;PORTM;6,00
576;PORTL;10,00
576;DL;95,00
576;RKL;14,00
576;TL;4,50
578;PORTS;10,00
578;PORTM;25,00
578;PORTL;40,00
578;DL;95,00
578;RKL;14,00
578;TL;4,50
579;DL;95,00
579;RKL;14,00
579;TL;4,50
579;PORTS;10,00
579;PORTM;25,00
579;PORTL;40,00
585;PORTS;3,00
585;PORTM;6,00
585;PORTL;10,00
585;DL;95,00
585;RKL;14,00
585;TL;4,50
586;PORTS;3,00
586;PORTM;6,00
586;PORTL;10,00
586;DL;95,00
586;RKL;14,00
586;TL;4,50
593;PORTS;3,00
593;PORTM;6,00
593;PORTL;10,00
593;DL;95,00
593;RKL;14,00
593;TL;4,50
597;PORTS;3,00
597;PORTM;6,00
597;PORTL;10,00
597;DL;95,00
597;RKL;14,00
597;TL;4,50
598;PORTS;3,00
598;PORTM;6,00
598;PORTL;10,00
598;DL;90,00
598;RKL;13,50
598;TL;4,50
599;PORTS;3,00
599;PORTM;6,00
599;PORTL;10,00
599;DL;95,00
599;RKL;14,00
599;TL;4,50
600;PORTS;170,00
600;PORTM;270,00
600;PORTL;450,00
600;DL;100,00
600;RKL;15,00
600;TL;5,00
602;PORTS;170,00
602;PORTM;270,00
602;PORTL;450,00
602;DL;100,00
602;RKL;15,00
602;TL;5,00
604;PORTS;170,00
604;PORTM;270,00
604;PORTL;450,00
604;DL;100,00
604;RKL;15,00
604;TL;5,00
606;PORTS;170,00
606;PORTM;270,00
606;PORTL;450,00
606;DL;100,00
606;RKL;15,00
606;TL;5,00
611;PORTS;170,00
611;PORTM;270,00
611;PORTL;450,00
611;DL;100,00
611;RKL;15,00
611;TL;5,00
612;PORTS;170,00
612;PORTM;270,00
612;PORTL;450,00
612;RKL;15,00
612;TL;5,00
612;DL;100,00
613;PORTS;170,00
613;PORTM;270,00
613;PORTL;450,00
613;DL;100,00
613;RKL;15,00
613;TL;5,00
615;PORTS;40,00
615;PORTL;200,00
615;DL;100,00
615;RKL;15,00
615;TL;5,00
615;PORTM;100,00
616;PORTS;170,00
616;PORTM;270,00
616;PORTL;450,00
616;DL;100,00
616;RKL;15,00
616;TL;5,00
617;PORTL;200,00
617;DL;100,00
617;RKL;15,00
617;TL;5,00
617;PORTS;150,00
617;PORTM;200,00
618;PORTL;200,00
618;DL;100,00
